Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Average Cadence,Max Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone
4021167,"Feb 9, 2012, 8:38:51 PM",02/10/2012,Ride,,3447,16.46,,false,Giant TCX,activities/4021167.gpx,85.0,9.0,3447.0,2627.0,16460.099609375,11.961899757385254,,221.04400634765625,,0.32582199573516846,42.4921989440918,23.632999420166016,0.07538239657878876,,,,,,,,162.8939971923828,477.1336364746094,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,87033.0,,,,,,,
4032205,"Feb 10, 2012, 5:17:37 AM",02/10/2012,Ride,"",1300,8.67,,false,Giant TCX,activities/4032205.gpx,85.0,9.0,1300.0,1300.0,8674.1103515625,13.991999626159668,,103.49099731445312,,1.730430006980896,32.83300018310547,12.287099838256836,-0.040527500212192535,,,,,,,,165.91099548339844,240.4879913330078,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,87033.0,,,,,,,
6015302,"Apr 1, 2012, 5:39:32 AM",04/01/2012,Ride,,1032,7.28,,false,Giant TCX,activities/6015302.gpx,85.0,9.0,1032.0,1032.0,7288.3701171875,11.851300239562988,,45.040401458740234,,2.111459970474243,22.632200241088867,7.427090167999268,-0.004035470075905323,,,,,,,,142.41200256347656,163.87063598632812,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,87033.0,,,,,,,
6266673,"Apr 5, 2012, 11:51:32 PM",04/06/2012,Ride,"",5748,35.98,,false,Giant TCX,activities/6266673.gpx,85.0,9.0,5748.0,5579.0,35983.3984375,20.103200912475586,,206.8679962158203,,0.07761570066213608,36.288299560546875,17.688100814819336,-0.004386969842016697,,,,,,,,138.68899536132812,862.7266845703125,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,87033.0,,,,,,,
7142840,"Apr 22, 2012, 12:46:00 AM",04/22/2012,Ride,"",5036,34.62,,false,Giant TCX,activities/7142840.gpx,85.0,9.0,5036.0,5013.0,34622.3984375,21.074800491333008,,215.697998046875,,0.41572800278663635,35.00389862060547,13.490599632263184,-0.011974900029599667,,,,,,,,154.0989990234375,861.3355712890625,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,87033.0,,,,,,,
10199036,"Jun 6, 2012, 6:04:02 AM",06/06/2012,Walk,,4303,7.83,,false,,activities/10199036.gpx,,,4303.0,4284.0,7829.81982421875,3.736269950866699,,78.00070190429688,,0.7294620275497437,33.88359832763672,42.926300048828125,-0.01721169985830784,,,,,,,,,760.0071411132812,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,26110.0,,,,,,
26033597,"Oct 25, 2012, 11:02:00 AM",Evening dash,Ride,,1002,6.61,,false,,activities/26033597.gpx,85.0,,1002.0,1002.0,6617.43994140625,15.06779956817627,,35.55720138549805,,4.552800178527832,18.330400466918945,51.452301025390625,0.006710730027407408,,,,,,,,138.98800659179688,155.2815704345703,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
37188856,"Jan 11, 2013, 10:34:57 PM",Sat morning stroll - fixed ,Ride,,2619,17.28,,false,Superb Sprint - Fixed,activities/37188856.gpx,85.0,9.0,2619.0,2619.0,17281.400390625,15.386799812316895,,28.37150001525879,,2.6953799724578857,21.457500457763672,11.488499641418457,0.00029327100492082536,,,,,,,,132.45399475097656,386.7901916503906,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,583771.0,,,,,,,
40003347,"Feb 6, 2013, 7:18:07 PM",Cycle of giving training,Ride,"",7557,44.23,,false,Giant TCX,activities/40003347.gpx,85.0,9.0,7557.0,7343.0,44234.19921875,16.5314998626709,,287.9590148925781,,1.3645000457763672,60.13370132446289,98.158203125,0.0029864299576729536,,,,,,,,134.61099243164062,1102.1201171875,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,87033.0,,,,,,,
40465147,"Feb 10, 2013, 8:23:04 PM",Commute,Ride,,1346,8.52,,false,,activities/40465147.gpx,85.0,,1346.0,1240.0,8525.26953125,12.688899993896484,,98.3228988647461,,2.0,35.228599548339844,24.570100784301758,0.025565600022673607,,,,,,,,173.41700744628906,239.76634216308594,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
40517359,"Feb 11, 2013, 6:09:53 AM",Commute home,Ride,,1699,10.10,,false,,activities/40517359.gpx,85.0,,1699.0,1629.0,10105.2001953125,14.3572998046875,,90.918701171875,,4.38415002822876,33.871700286865234,17.89590072631836,-0.0806851014494896,,,,,,,,137.59500122070312,249.91860961914062,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
40687924,"Feb 12, 2013, 8:57:54 PM",Commute,Ride,,1868,11.90,,false,,activities/40687924.gpx,85.0,,1868.0,1868.0,11907.7001953125,19.38610076904297,,113.05999755859375,,1.8943099975585938,35.91780090332031,13.378800392150879,0.060022298246622086,,,,,,,,153.38499450683594,319.4733581542969,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
41156459,"Feb 16, 2013, 10:54:13 PM",A very windy ride ,Ride,,3060,21.14,,false,,activities/41156459.gpx,85.0,,3060.0,3060.0,21146.30078125,15.130800247192383,,56.45069885253906,,2.3669300079345703,21.663000106811523,24.687299728393555,-0.007792760152369738,,,,,,,,126.31400299072266,430.9707336425781,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
43339565,"Mar 6, 2013, 6:11:48 AM",Commute home - walk,Walk,,3331,5.98,,false,,activities/43339565.gpx,,,3331.0,3255.0,5986.35986328125,4.82489013671875,,90.08439636230469,,3.983099937438965,32.19940185546875,65.82230377197266,0.2426230013370514,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,26110.0,,,,,,
